Wavelength,Flux,BestFit,SkyFlux
3801.019,4.973,7.549,5.208
3801.893,11.402,7.506,5.351
3802.770,4.585,7.430,5.252
3803.645,7.782,7.438,5.225
3804.522,8.624,7.160,5.252
3805.397,9.569,6.973,5.300
3806.273,14.139,6.994,5.362
3807.150,13.299,6.985,5.398
3808.026,7.177,6.856,5.390
3808.904,9.365,7.240,5.517
3809.780,7.959,7.352,5.581
3810.659,9.275,7.420,5.648
3811.536,1.670,7.463,5.619
3812.412,14.046,7.490,5.667
3813.292,16.438,7.579,5.809
3814.169,8.940,7.356,5.864
3815.048,8.042,7.315,5.780
3815.926,4.605,7.335,5.459
3816.806,7.299,7.305,5.416
3817.684,13.630,7.429,5.419
3818.562,11.114,7.820,5.548
3819.443,7.886,7.657,5.404
3820.322,8.665,7.325,4.980
3821.202,4.662,7.092,4.644
3822.082,3.535,7.141,4.873
3822.963,12.224,7.239,4.768
3823.842,13.462,7.011,4.789
3824.724,-1.000,7.017,4.875
3825.604,4.412,7.276,4.877
3826.484,3.241,7.264,4.743
3827.366,5.030,7.075,4.471
3828.247,11.700,7.052,4.871
3829.130,10.006,7.228,5.906
3830.011,3.019,7.198,7.144
3830.894,4.688,7.257,7.870
3831.775,12.975,7.421,7.731
3832.657,12.537,7.484,7.269
3833.540,15.396,7.531,7.341
3834.422,10.568,7.818,7.758
3835.307,7.301,7.871,7.392
3836.189,7.134,7.676,6.623
3837.073,7.965,7.826,6.023
3837.956,9.009,7.939,5.910
3838.839,6.350,7.696,5.973
3839.724,7.429,7.518,5.876
3840.608,17.414,7.693,5.643
3841.493,12.155,7.731,5.499
3842.377,16.035,7.747,5.571
3843.263,8.822,7.623,5.796
3844.147,6.217,7.345,5.854
3845.032,2.534,7.207,5.799
3845.918,4.804,7.274,5.848
3846.803,7.383,7.272,6.139
3847.690,5.688,7.305,6.288
3848.575,7.127,7.189,5.962
3849.463,4.516,7.080,5.248
3850.348,13.479,7.389,4.944
3851.234,12.948,7.462,4.978
3852.122,9.905,7.471,5.034
3853.008,10.617,7.458,4.880
3853.897,6.409,7.414,4.713
3854.783,7.188,7.335,4.830
3855.672,8.052,7.247,5.204
3856.559,3.477,7.192,5.534
3857.446,10.437,7.084,5.349
3858.336,4.632,6.899,4.568
3859.223,4.618,6.788,3.852
3860.113,10.934,6.810,3.565
3861.001,0.398,6.825,3.930
3861.892,4.358,6.779,4.513
3862.780,9.218,6.963,4.864
3863.669,6.368,7.145,4.884
3864.560,5.551,7.230,4.796
3865.449,4.515,7.312,4.918
3866.340,5.813,7.441,5.117
3867.230,7.799,7.366,5.231
3868.121,-0.744,7.327,4.896
3869.011,5.658,7.275,4.260
3869.901,9.767,7.339,3.632
3870.794,10.353,7.546,3.160
3871.684,8.284,7.663,2.955
3872.577,6.648,7.599,3.059
3873.468,8.409,7.638,3.594
3874.361,3.340,7.687,4.657
3875.252,5.749,7.710,5.621
3876.144,10.904,7.648,5.994
3877.038,7.183,7.467,5.766
3877.930,13.969,7.524,5.256
3878.824,12.004,7.729,4.752
3879.716,5.094,7.737,4.467
3880.611,3.992,7.670,4.263
3881.504,8.450,7.707,4.052
3882.396,14.910,7.729,3.912
3883.292,12.283,7.557,3.983
3884.185,9.789,7.475,4.379
3885.081,9.512,7.605,4.620
3885.975,9.937,7.611,4.709
3886.871,4.767,7.422,4.988
3887.765,4.725,7.423,6.381
3888.659,10.742,7.514,8.345
3889.556,11.127,7.384,9.041
3890.451,6.100,7.328,8.053
3891.348,10.866,7.353,6.772
3892.243,16.414,7.334,5.005
3893.141,6.391,7.283,4.379
3894.036,13.720,7.298,4.330
3894.934,8.992,7.237,4.746
3895.830,5.805,7.092,5.068
3896.726,5.930,7.139,5.289
3897.625,3.292,7.351,5.447
3898.522,5.051,7.307,5.611
3899.421,9.181,7.096,5.368
3900.318,9.887,7.049,5.134
3901.217,9.672,7.022,5.396
3902.115,8.888,7.030,6.334
3903.012,-2.401,6.998,6.902
3903.912,-0.199,6.748,6.931
3904.810,5.083,6.631,6.594
3905.711,6.483,6.591,6.488
